feature,rank_pearson,rank_mi,rank_tree,rank_l1,votes,mean_rank,pearson_r,mi,tree_gain_mean,l1_coef,l1_abs_coef
jersey_number,7.0,4.0,1.0,3.0,4,3.75,0.0658617764281343,0.013338371004053329,558.9235540390015,0.29636431617197895,0.29636431617197895
ratio_peak_speed,2.0,34.0,13.0,1.0,3,12.5,-0.1001936069221738,0.0023516155158065377,114.89493012428284,-0.5082504971758912,0.5082504971758912
minutes_remaining,1.0,53.0,4.0,2.0,3,15.0,0.10162826208783822,3.3837909676481814e-05,259.5498046398163,0.33681075250448217,0.33681075250448217
last15_passes_top_third,12.0,2.0,2.0,46.0,3,15.5,0.050706095757954824,0.024909113287804985,403.23834190368655,0.0881131666404359,0.0881131666404359
runs_per_minute_played,28.0,15.0,19.0,10.0,3,18.0,0.030042448661719595,0.005527933904787119,92.24682874679566,0.25515609459045463,0.25515609459045463
cumul_sprints,10.0,6.0,24.0,48.0,3,22.0,-0.05243573692029479,0.008981758234337,80.09182162284851,0.07719571028565256,0.07719571028565256
minute_out,24.0,3.0,5.0,58.0,3,22.5,0.03296980326623678,0.0169403981717291,189.3213659286499,0.04888048619029491,0.04888048619029491
formation_offensiveness,9.0,81.5,8.0,7.0,3,26.375,-0.052680286260086445,0.0,166.45439825057983,-0.26475379647745867,0.26475379647745867
ratio_passes_top_third,20.0,21.0,46.0,24.0,3,27.75,-0.037574139265398245,0.004271538558656474,33.339931917190555,-0.17478602398605378,0.17478602398605378
top_third_press_share_above_team_avg,15.0,81.5,12.0,9.0,3,29.375,0.04062082999893161,0.0,115.20119142532349,0.25811509471937577,0.25811509471937577
cumul_peak_speed,65.0,1.0,3.0,35.0,2,26.0,-0.0143542883229963,0.031001374739529464,339.18727798461913,0.11399924306945401,0.11399924306945401
top_third_run_share,39.0,22.0,25.0,30.0,2,29.0,0.023636137714761484,0.00423154809632198,79.81047387123108,0.1414290887507484,0.1414290887507484
composure_under_pressure_ratio,25.0,12.0,26.0,59.0,2,30.5,-0.03242656300474857,0.0062472433771361136,74.43448169231415,-0.04759550822715566,0.04759550822715566
last15_shots_top_third,8.0,28.0,76.0,19.0,2,32.75,0.053147826278543364,0.0033616771564106696,8.855643892288208,-0.1901154249068408,0.1901154249068408
last15_passes,16.0,81.5,33.0,6.0,2,34.125,-0.039450708517597875,0.0,62.52751595973969,-0.2711970325847806,0.2711970325847806
passes_received_share_above_team_avg,43.0,25.0,11.0,61.0,2,35.0,0.021669526658983154,0.0037867620971159255,131.86999406814576,0.04587377180035938,0.04587377180035938
ratio_distance,78.0,17.0,14.0,33.0,2,35.5,-0.007549747874418931,0.005415442692989103,103.78440248966217,0.12531774384693048,0.12531774384693048
press_turnover_rate,14.0,81.5,16.0,32.0,2,35.875,0.04139110392540609,0.0,97.67617568969726,0.13147014971175908,0.13147014971175908
set_piece_share,31.0,14.0,84.0,16.0,2,36.25,0.028363034040617553,0.0058622591886534625,2.567751979827881,0.19582200591123017,0.19582200591123017
speed_above_team_avg,54.0,13.0,7.0,72.0,2,36.5,0.0176389586805427,0.005888690691376874,170.6251000881195,0.02317501434852923,0.02317501434852923
top_third_pass_x_top_third_run,105.0,16.0,30.0,4.0,2,38.75,0.0013984764911042856,0.005472821269903783,69.3040495634079,-0.29382062323422325,0.29382062323422325
cumul_shots,18.0,81.5,43.0,13.0,2,38.875,0.038519433408470194,0.0,34.95884003639221,0.21677972690352662,0.21677972690352662
top_third_run_share_x_shot_accuracy,21.0,81.5,45.0,20.0,2,41.875,0.03750089842912932,0.0,33.61886014938354,0.19007564903683385,0.19007564903683385
mean_abs_pass_angle,92.0,42.0,22.0,21.0,2,44.25,-0.004201565185642575,0.0011697477204726248,83.44674475193024,0.18970158439316234,0.18970158439316234
top_third_presence_avg,22.0,81.5,15.0,64.0,2,45.625,0.03331024904756322,0.0,98.61586818695068,0.03825608967876095,0.03825608967876095
cumul_hsr,6.0,81.5,20.0,78.0,2,46.375,-0.07294369339672827,0.0,92.1314243555069,0.011385095793883422,0.011385095793883422
last15_sprints_A,98.0,23.0,89.0,5.0,2,53.75,0.0028897542500057505,0.003990291802753232,0.6854959964752197,-0.28463429416890296,0.28463429416890296
cumul_passes_A,55.0,10.0,50.0,40.0,1,38.75,0.01730779969475897,0.007272548608229901,27.91022801399231,0.10615244913138877,0.10615244913138877
passes_received_share_A,44.0,27.0,67.0,22.0,1,40.0,0.02152266319776119,0.003395419492849605,13.667813873291015,0.1893669032787054,0.1893669032787054
ratio_sprints,71.0,5.0,27.0,57.0,1,40.0,-0.011284386087464609,0.010388423702624827,73.73918600082398,-0.04973670920484907,0.04973670920484907
cumul_shots_on_target,17.0,81.5,52.0,31.0,1,45.375,0.0389102249281448,0.0,26.594227886199953,0.14056153531194132,0.14056153531194132
forward_pass_share_G,30.0,37.0,94.5,23.0,1,46.125,-0.028369313573938966,0.001896685416524102,0.0,-0.1811569086950826,0.1811569086950826
passes_received_share_G,58.0,38.0,87.0,14.0,1,49.25,-0.01662308528029221,0.0017476300263801203,0.8483719825744629,0.21604992968958514,0.21604992968958514
press_turnover_rate_M,51.0,18.0,39.0,90.0,1,49.5,0.018335512370102242,0.004890716211236379,46.785345220565794,0.0,0.0
ratio_shots_top_third,56.0,81.5,56.0,8.0,1,50.375,0.017283450916475627,0.0,23.88117606639862,0.2612038033154724,0.2612038033154724
last15_passes_received_x_last15_sprints,76.0,81.5,28.0,18.0,1,50.875,0.009039226650099342,0.0,70.73043012619019,0.19050274714037585,0.19050274714037585
top_third_press_share_x_set_piece_share,63.0,49.0,85.0,11.0,1,52.0,-0.014593734013316394,0.0004307579261217942,0.9602179527282715,-0.25059240483954337,0.25059240483954337
cumul_distance,42.0,81.5,10.0,77.0,1,52.625,-0.021680318342145777,0.0,136.98575773239136,0.01166553496710219,0.01166553496710219
last15_shots_under_press,13.0,81.5,90.0,28.0,1,53.125,0.04258502757916434,0.0,0.5940100193023682,0.1548706953504887,0.1548706953504887
last15_peak_speed,62.0,81.5,21.0,50.0,1,53.625,0.014735605452190563,0.0,87.90219850540161,0.07060587718750845,0.07060587718750845
cumul_passes,61.0,81.5,17.0,66.0,1,56.375,-0.014968525212089441,0.0,95.88609356880188,0.034037676876216345,0.034037676876216345
cumul_passes_top_third,72.0,50.0,18.0,90.0,1,57.5,-0.010991488239082806,0.00017443371576231215,93.35614576339722,0.0,0.0
shot_to_pass_ratio,68.0,81.5,66.0,17.0,1,58.125,0.012393239045680968,0.0,13.791800022125244,0.1940339447918229,0.1940339447918229
top_third_run_share_M,77.0,81.5,64.0,15.0,1,59.375,0.008076865959185024,0.0,14.713819980621338,0.21188938625717962,0.21188938625717962
cumul_mean_max_speed,97.0,81.5,9.0,54.0,1,60.375,-0.0031462104797592835,0.0,152.45277400016784,-0.05440999567590376,0.05440999567590376
last15_shot_accuracy,23.0,81.5,83.0,55.0,1,60.625,0.033247337128252036,0.0,2.9856199264526366,0.05429462225656318,0.05429462225656318
last15_distance,79.0,81.5,6.0,90.0,1,64.125,-0.007438172894853881,0.0,173.48637969493865,0.0,0.0
last15_sprints_M,90.0,81.5,81.0,12.0,1,66.125,-0.005068982041953878,0.0,5.249840021133423,-0.225161780946469,0.225161780946469
ratio_shots_under_press,100.0,81.5,71.0,25.0,1,69.375,-0.002600480991088894,0.0,11.518927955627442,-0.16307028820313654,0.16307028820313654
cumul_intensity,106.0,11.0,72.0,90.0,1,69.75,0.0010489840631883608,0.006401916012958697,11.134069871902465,0.0,0.0
fatigue_gap,101.0,81.5,23.0,74.0,1,69.875,0.0025900740175305785,0.0,82.06982536315918,-0.018925868983674918,0.018925868983674918
four_domain_top_third_avg,36.0,29.0,34.0,34.0,0,33.25,0.025534241474608362,0.003306086136436237,57.73413162231445,-0.11695984618791491,0.11695984618791491
last15_press_events,40.0,45.0,38.0,27.0,0,37.5,-0.022954682751505806,0.0009598716022516385,50.30457406044006,-0.15566596433056362,0.15566596433056362
passes_received_share,45.0,43.0,29.0,70.0,0,46.75,0.02131893931301859,0.00115878278289272,69.98970189094544,-0.025297503958945,0.025297503958945
cumul_pressing_others,35.0,51.0,37.0,75.0,0,49.5,0.026521141895383894,0.00014348395022989457,53.07789649963379,-0.013036602053064061,0.013036602053064061
cumul_shot_accuracy,29.0,35.0,63.0,81.0,0,52.0,0.029747224485221317,0.0020626489612325383,15.65753993988037,0.000902505421249855,0.000902505421249855
pressing_minus_pressed,41.0,46.0,31.0,90.0,0,52.0,0.022542894206486697,0.0007693096345300354,67.27707364559174,0.0,0.0
player_shot_share,102.0,30.0,51.0,26.0,0,52.25,-0.0020466449946877296,0.003211135072720861,26.972603797912598,-0.1559685254252153,0.1559685254252153
top_third_pass_share,59.0,81.5,40.0,36.0,0,54.125,0.016551849815892593,0.0,43.843949699401854,0.11310674732107677,0.11310674732107677
forward_pass_share,50.0,81.5,35.0,56.0,0,55.625,-0.01893755554339816,0.0,56.95201191902161,0.05346397683956968,0.05346397683956968
shot_to_press_ratio,80.0,32.0,68.0,51.0,0,57.75,0.007261624364799422,0.0027633485445488493,13.609852027893066,-0.06541351534609591,0.06541351534609591
share_right_foot,70.0,48.0,73.0,41.0,0,58.0,-0.012243299007754714,0.0006450862728004658,11.033807802200318,-0.10552062866781936,0.10552062866781936
match_minute_at_cp,57.0,81.5,47.0,52.0,0,59.375,0.016882602767396053,0.0,33.22630596160889,-0.060909496821735076,0.060909496821735076
shot_intent_under_fatigue,75.0,31.0,94.5,37.0,0,59.375,-0.00971843186334481,0.003004374810352539,0.0,-0.11114802027265841,0.11114802027265841
top_third_run_share_x_set_piece_share,38.0,81.5,75.0,44.0,0,59.625,0.023798176839809795,0.0,9.32944393157959,0.09424989418056277,0.09424989418056277
press_turnover_rate_D,74.0,81.5,42.0,42.0,0,59.875,0.01034171981493992,0.0,36.55952005386352,0.0994123579943195,0.0994123579943195
cumul_passes_G,53.0,33.0,77.0,80.0,0,60.75,-0.018172755959609356,0.0024393013011243525,6.173640012741089,-0.00513124847024617,0.00513124847024617
press_turnover_rate_A,48.0,81.5,55.0,63.0,0,61.875,0.019717840816330674,0.0,23.97104787826538,-0.03851569140012173,0.03851569140012173
top_third_last15_share,89.0,81.5,36.0,45.0,0,62.875,0.005175374124330744,0.0,54.73460235595703,-0.09041537636208213,0.09041537636208213
forward_pass_share_D,99.0,41.0,53.0,60.0,0,63.25,-0.0028104938673890294,0.0012981135215095474,26.36847996711731,0.04731839084015411,0.04731839084015411
dominant_foot_strength,87.0,36.0,94.5,39.0,0,64.125,-0.005658678207155925,0.0018974267695432978,0.0,0.10711427124357932,0.10711427124357932
cumul_press_events,81.0,47.0,41.0,90.0,0,64.75,0.006344610704538885,0.0007415926402005724,37.0650239944458,0.0,0.0
ratio_shots_on_target,84.0,44.0,94.5,38.0,0,65.125,-0.005748874316383067,0.0010383108583500444,0.0,-0.10793761162554827,0.10793761162554827
last15_sprints_D,32.0,81.5,69.0,90.0,0,68.125,0.027701253575535913,0.0,13.337757873535157,0.0,0.0
top_third_run_share_A,66.0,40.0,80.0,90.0,0,69.0,0.014307039043235324,0.0015065401848770588,5.472758102416992,0.0,0.0
passes_received_share_M,96.0,81.5,48.0,53.0,0,69.625,0.0033110401667578284,0.0,30.308644104003907,-0.060146621861196084,0.060146621861196084
top_third_run_share_G,37.0,81.5,94.5,68.0,0,70.25,0.02433987637470837,0.0,0.0,0.029815954395659698,0.029815954395659698
subbed_x_last15_intensity_shots,60.0,81.5,91.0,49.0,0,70.375,-0.01644353936229527,0.0,0.5676720142364502,-0.07527768137326112,0.07527768137326112
last15_sprints,108.0,81.5,65.0,29.0,0,70.875,0.000748053568363161,0.0,14.50548014640808,-0.14644187277873236,0.14644187277873236
last15_press_events_x_last15_intensity_shots,52.0,81.5,82.0,69.0,0,71.125,-0.01821209680130917,0.0,4.636978054046631,-0.02720620176877479,0.02720620176877479
last15_hsr,69.0,81.5,54.0,82.0,0,71.625,0.012281333812991242,0.0,25.993030071258545,-0.0006618618868177334,0.0006618618868177334
last15_mean_max_speed,83.0,81.5,32.0,90.0,0,71.625,-0.005755660576224687,0.0,64.14932599067689,0.0,0.0
top_third_run_share_D,103.0,81.5,58.0,47.0,0,72.375,0.0018405268166976374,0.0,22.162897968292235,-0.08317419858486351,0.08317419858486351
shots_per_pass_received,91.0,81.5,78.0,43.0,0,73.375,0.00506806491932115,0.0,5.95502405166626,-0.09471252903392906,0.09471252903392906
cumul_passes_D,64.0,81.5,61.0,90.0,0,74.125,-0.014546417150953174,0.0,17.480741930007934,0.0,0.0
minute_in,47.0,81.5,79.0,90.0,0,74.375,0.019976686162071922,0.0,5.799387836456299,0.0,0.0
intensity_uplift,82.0,81.5,74.0,65.0,0,75.625,0.006136311069382404,0.0,10.249113941192627,-0.035675627825236714,0.035675627825236714
forward_pass_share_M,107.0,81.5,49.0,71.0,0,77.125,0.0007568068982624131,0.0,29.19655809402466,0.023813721329381476,0.023813721329381476
ratio_hsr,95.0,81.5,44.0,90.0,0,77.625,-0.003324011371927449,0.0,34.04783606529236,0.0,0.0
cumul_passes_M,109.0,81.5,59.0,62.0,0,77.875,6.179885552717369e-05,0.0,21.794229984283447,0.04529186437847023,0.04529186437847023
pressing_minus_pressed_x_cumul_shots,88.0,81.5,70.0,73.0,0,78.125,0.005427111914452961,0.0,12.225685977935791,-0.021292885607819563,0.021292885607819563
passes_received_share_D,86.0,81.5,60.0,90.0,0,79.375,-0.00566902892168056,0.0,20.206253790855406,0.0,0.0
forward_pass_share_A,85.0,81.5,62.0,90.0,0,79.625,0.005672972618119107,0.0,16.531074142456056,0.0,0.0
shots_per_top_third_run,104.0,81.5,57.0,76.0,0,79.625,-0.0015267688701548169,0.0,23.110621881484985,-0.01271375123574162,0.01271375123574162
press_turnover_rate_G,73.0,81.5,88.0,79.0,0,80.375,0.010855933928044612,0.0,0.8077779769897461,0.009724854905417631,0.009724854905417631
share_left_foot,93.0,81.5,86.0,67.0,0,81.875,-0.0038626083435160255,0.0,0.9248739719390869,-0.03015241177908931,0.03015241177908931
last15_intensity,94.0,81.5,94.5,90.0,0,90.0,-0.003333921860259613,0.0,0.0,0.0,0.0
